"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"6894","QB","Aaron","Rodgers","22.3","16","9700","GB@CHI","GB","CHI","","","",""
"21939","QB","Andrew","Luck","23","16","9200","IND@BUF","IND","BUF","","","",""
"6703","RB","Adrian","Peterson","10.3","1","9200","MIN@SF","MIN","SF","","","",""
"6661","QB","Peyton","Manning","20.2","16","9100","BAL@DEN","DEN","BAL","","","",""
"10777","RB","Arian","Foster","19.6","13","9000","KC@HOU","HOU","KC","O","Groin","",""
"14190","WR","Julio","Jones","16.4","15","9000","PHI@ATL","ATL","PHI","","","",""
"6504","QB","Drew","Brees","20","16","8900","NO@ARI","NO","ARI","","","",""
"6728","RB","Jamaal","Charles","15.4","15","8900","KC@HOU","KC","HOU","","","",""
"31360","WR","Odell","Beckham Jr.","20.8","12","8900","NYG@DAL","NYG","DAL","","","",""
"22015","QB","Russell","Wilson","20.9","16","8800","SEA@STL","SEA","STL","","","",""
"6616","QB","Matt","Ryan","18.5","16","8800","PHI@ATL","ATL","PHI","","","",""
"6899","RB","Matt","Forte","18.5","16","8800","GB@CHI","CHI","GB","","","",""
"11432","WR","Demaryius","Thomas","17.8","16","8800","BAL@DEN","DEN","BAL","","","",""
"6639","QB","Tony","Romo","18.4","15","8700","NYG@DAL","DAL","NYG","","","",""
"11435","WR","Dez","Bryant","17","16","8700","NYG@DAL","DAL","NYG","P","Hamstring","",""
"6893","WR","Jordy","Nelson","17.4","16","8600","GB@CHI","GB","CHI","IR","Knee","",""
"31397","RB","Jeremy","Hill","12.3","16","8600","CIN@OAK","CIN","OAK","","","",""
"9371","RB","Marshawn","Lynch","17.7","16","8600","SEA@STL","SEA","STL","","","",""
"6655","WR","Calvin","Johnson","14.7","13","8500","DET@SD","DET","SD","","","",""
"14254","RB","DeMarco","Murray","20.2","16","8500","PHI@ATL","PHI","ATL","","","",""
"30968","RB","Eddie","Lacy","15.7","16","8500","GB@CHI","GB","CHI","","","",""
"21980","WR","Alshon","Jeffery","13.7","16","8400","GB@CHI","CHI","GB","Q","Calf","",""
"6779","RB","LeSean","McCoy","11.6","16","8400","IND@BUF","BUF","IND","Q","Hamstring","",""
"14185","QB","Cam","Newton","18.5","14","8400","CAR@JAC","CAR","JAC","","","",""
"14257","WR","Randall","Cobb","15.5","16","8400","GB@CHI","GB","CHI","Q","Shoulder","",""
"29249","RB","C.J.","Anderson","13","15","8400","BAL@DEN","DEN","BAL","","","",""
"32384","WR","Mike","Evans","14.1","15","8300","TEN@TB","TB","TEN","Q","Hamstring","",""
"6826","QB","Eli","Manning","17.7","16","8300","NYG@DAL","NYG","DAL","","","",""
"14187","WR","A.J.","Green","13.1","13","8300","CIN@OAK","CIN","OAK","","","",""
"6714","QB","Joe","Flacco","17.2","16","8200","BAL@DEN","BAL","DEN","","","",""
"11505","WR","Emmanuel","Sanders","15.7","16","8200","BAL@DEN","DEN","BAL","P","Hamstring","",""
"7968","QB","Philip","Rivers","17.7","16","8100","DET@SD","SD","DET","P","Hand","",""
"21948","QB","Ryan","Tannehill","18.2","16","8000","MIA@WAS","MIA","WAS","","","",""
"6898","QB","Jay","Cutler","17.7","15","7900","GB@CHI","CHI","GB","","","",""
"14231","QB","Colin","Kaepernick","16.3","16","7900","MIN@SF","SF","MIN","","","",""
"29253","WR","Keenan","Allen","9.8","14","7900","DET@SD","SD","DET","","","",""
"24682","RB","Andre","Ellington","12.9","12","7900","NO@ARI","ARI","NO","","","",""
"6654","QB","Matthew","Stafford","16.3","16","7800","DET@SD","DET","SD","","","",""
"6857","RB","Justin","Forsett","14.1","16","7800","BAL@DEN","BAL","DEN","","","",""
"22031","WR","T.Y.","Hilton","14.5","15","7800","IND@BUF","IND","BUF","Q","Concussion","",""
"16606","WR","DeAndre","Hopkins","12.1","16","7800","KC@HOU","HOU","KC","","","",""
"14211","RB","Mark","Ingram","13.6","13","7800","NO@ARI","NO","ARI","","","",""
"6748","QB","Carson","Palmer","17.8","6","7700","NO@ARI","ARI","NO","","","",""
"6618","WR","Roddy","White","12.3","14","7600","PHI@ATL","ATL","PHI","Q","Elbow","",""
"7283","WR","Jeremy","Maclin","14.6","16","7600","KC@HOU","KC","HOU","","","",""
"24641","WR","Sammy","Watkins","10.3","16","7600","IND@BUF","BUF","IND","","","",""
"6840","RB","Frank","Gore","9.6","16","7500","IND@BUF","IND","BUF","","","",""
"11414","QB","Sam","Bradford","0","0","7500","PHI@ATL","PHI","ATL","","","",""
"24929","WR","Kelvin","Benjamin","11.8","16","7500","CAR@JAC","CAR","JAC","IR","Knee","",""
"22113","RB","Alfred","Morris","11.2","16","7400","MIA@WAS","WAS","MIA","","","",""
"6759","WR","Brandon","Marshall","11.4","13","7400","CLE@NYJ","NYJ","CLE","","","",""
"29501","WR","Brandin","Cooks","11.3","10","7400","NO@ARI","NO","ARI","","","",""
"34331","RB","Latavius","Murray","5.1","15","7400","CIN@OAK","OAK","CIN","","","",""
"21941","QB","Robert","Griffin III","10.4","9","7300","MIA@WAS","WAS","MIA","Q","Concussion","",""
"28473","RB","Carlos","Hyde","4.9","14","7300","MIN@SF","SF","MIN","","","",""
"22037","RB","Lamar","Miller","12.8","16","7300","MIA@WAS","MIA","WAS","","","",""
"31261","RB","Tre","Mason","10.6","12","7300","SEA@STL","STL","SEA","Q","Hamstring","",""
"33259","QB","Teddy","Bridgewater","14.4","13","7200","MIN@SF","MIN","SF","","","",""
