Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,ForceDontUse,ForceUse,Picks
21939,QB,Andrew,Luck,23,16,9200,IND@BUF,IND,BUF,,,0,0,
6894,QB,Aaron,Rodgers,22.3,16,9700,GB@CHI,GB,CHI,,,0,0,
22015,QB,Russell,Wilson,20.9,16,8800,SEA@STL,SEA,STL,,,0,0,
31360,WR,Odell,Beckham Jr.,20.8,12,8900,NYG@DAL,NYG,DAL,,,0,0,
6661,QB,Peyton,Manning,20.2,16,9100,BAL@DEN,DEN,BAL,,,0,0,
14254,RB,DeMarco,Murray,20.2,16,8500,PHI@ATL,PHI,ATL,,,0,0,
6504,QB,Drew,Brees,20,16,8900,NO@ARI,NO,ARI,,,0,0,
10777,RB,Arian,Foster,19.6,13,9000,KC@HOU,HOU,KC,O,Groin,0,0,
6616,QB,Matt,Ryan,18.5,16,8800,PHI@ATL,ATL,PHI,,,0,0,
6899,RB,Matt,Forte,18.5,16,8800,GB@CHI,CHI,GB,,,0,0,
14185,QB,Cam,Newton,18.5,14,8400,CAR@JAC,CAR,JAC,,,0,0,
6639,QB,Tony,Romo,18.4,15,8700,NYG@DAL,DAL,NYG,,,0,0,
21948,QB,Ryan,Tannehill,18.2,16,8000,MIA@WAS,MIA,WAS,,,0,0,
11432,WR,Demaryius,Thomas,17.8,16,8800,BAL@DEN,DEN,BAL,,,0,0,
6748,QB,Carson,Palmer,17.8,6,7700,NO@ARI,ARI,NO,,,0,0,
9371,RB,Marshawn,Lynch,17.7,16,8600,SEA@STL,SEA,STL,,,0,0,
6826,QB,Eli,Manning,17.7,16,8300,NYG@DAL,NYG,DAL,,,0,0,
7968,QB,Philip,Rivers,17.7,16,8100,DET@SD,SD,DET,P,Hand,0,0,
6898,QB,Jay,Cutler,17.7,15,7900,GB@CHI,CHI,GB,,,0,0,
6893,WR,Jordy,Nelson,17.4,16,8600,GB@CHI,GB,CHI,IR,Knee,0,0,
6714,QB,Joe,Flacco,17.2,16,8200,BAL@DEN,BAL,DEN,,,0,0,
11435,WR,Dez,Bryant,17,16,8700,NYG@DAL,DAL,NYG,P,Hamstring,0,0,
6687,QB,Mark,Sanchez,16.7,9,6600,PHI@ATL,PHI,ATL,,,0,0,
14190,WR,Julio,Jones,16.4,15,9000,PHI@ATL,ATL,PHI,,,0,0,
14231,QB,Colin,Kaepernick,16.3,16,7900,MIN@SF,SF,MIN,,,0,0,
6654,QB,Matthew,Stafford,16.3,16,7800,DET@SD,DET,SD,,,0,0,
22027,QB,Nick,Foles,16.2,8,6400,SEA@STL,STL,SEA,,,0,0,
22038,QB,Kirk,Cousins,16.2,6,6000,MIA@WAS,WAS,MIA,,,0,0,
25410,QB,Mike,Glennon,15.9,6,5300,TEN@TB,TB,TEN,,,0,0,
30968,RB,Eddie,Lacy,15.7,16,8500,GB@CHI,GB,CHI,,,0,0,
11505,WR,Emmanuel,Sanders,15.7,16,8200,BAL@DEN,DEN,BAL,P,Hamstring,0,0,
7659,QB,Ryan,Fitzpatrick,15.6,12,6800,CLE@NYJ,NYJ,CLE,,,0,0,
14257,WR,Randall,Cobb,15.5,16,8400,GB@CHI,GB,CHI,Q,Shoulder,0,0,
6728,RB,Jamaal,Charles,15.4,15,8900,KC@HOU,KC,HOU,,,0,0,
8005,QB,Alex,Smith,15.1,15,6600,KC@HOU,KC,HOU,,,0,0,
14225,QB,Andy,Dalton,15,16,7100,CIN@OAK,CIN,OAK,P,Neck,0,0,
6655,WR,Calvin,Johnson,14.7,13,8500,DET@SD,DET,SD,,,0,0,
7283,WR,Jeremy,Maclin,14.6,16,7600,KC@HOU,KC,HOU,,,0,0,
22031,WR,T.Y.,Hilton,14.5,15,7800,IND@BUF,IND,BUF,Q,Concussion,0,0,
33259,QB,Teddy,Bridgewater,14.4,13,7200,MIN@SF,MIN,SF,,,0,0,
32384,WR,Mike,Evans,14.1,15,8300,TEN@TB,TB,TEN,Q,Hamstring,0,0,
6857,RB,Justin,Forsett,14.1,16,7800,BAL@DEN,BAL,DEN,,,0,0,
21980,WR,Alshon,Jeffery,13.7,16,8400,GB@CHI,CHI,GB,Q,Calf,0,0,
14211,RB,Mark,Ingram,13.6,13,7800,NO@ARI,NO,ARI,,,0,0,
11500,QB,Colt,McCoy,13.2,5,5000,MIA@WAS,WAS,MIA,,,0,0,
14187,WR,A.J.,Green,13.1,13,8300,CIN@OAK,CIN,OAK,,,0,0,
11485,WR,Golden,Tate,13.1,16,7100,DET@SD,DET,SD,,,0,0,
34308,QB,Blake,Bortles,13.1,14,6400,CAR@JAC,JAC,CAR,,,0,0,
29249,RB,C.J.,Anderson,13,15,8400,BAL@DEN,DEN,BAL,,,0,0,
6427,K,Connor,Barth,13,5,5100,TEN@TB,TB,TEN,,,0,0,
24682,RB,Andre,Ellington,12.9,12,7900,NO@ARI,ARI,NO,,,0,0,
22037,RB,Lamar,Miller,12.8,16,7300,MIA@WAS,MIA,WAS,,,0,0,
25290,RB,Giovani,Bernard,12.8,13,7200,CIN@OAK,CIN,OAK,,,0,0,
6803,QB,Josh,McCown,12.8,11,6300,CLE@NYJ,CLE,NYJ,,,0,0,
45859,QB,Derek,Carr,12.7,16,6300,CIN@OAK,OAK,CIN,,,0,0,
7970,QB,Charlie,Whitehurst,12.7,7,5000,TEN@TB,TEN,TB,,,0,0,
22994,QB,Case,Keenum,12.4,2,5000,SEA@STL,STL,SEA,,,0,0,
31397,RB,Jeremy,Hill,12.3,16,8600,CIN@OAK,CIN,OAK,,,0,0,
6618,WR,Roddy,White,12.3,14,7600,PHI@ATL,ATL,PHI,Q,Elbow,0,0,
24949,QB,E.J.,Manuel,12.3,5,6400,IND@BUF,BUF,IND,,,0,0,
16606,WR,DeAndre,Hopkins,12.1,16,7800,KC@HOU,HOU,KC,,,0,0,
6739,WR,DeSean,Jackson,12.1,15,7100,MIA@WAS,WAS,MIA,P,Shoulder,0,0,
7872,QB,Brian,Hoyer,12.1,14,6500,KC@HOU,HOU,KC,,,0,0,
11712,RB,Joique,Bell,12.1,15,6500,DET@SD,DET,SD,Q,Knee,0,0,
24929,WR,Kelvin,Benjamin,11.8,16,7500,CAR@JAC,CAR,JAC,IR,Knee,0,0,
11512,TE,Jimmy,Graham,11.7,16,6900,SEA@STL,SEA,STL,,,0,0,
26483,QB,Geno,Smith,11.7,14,6800,CLE@NYJ,NYJ,CLE,O,Jaw,0,0,
22848,QB,Austin,Davis,11.7,10,5600,SEA@STL,STL,SEA,,,0,0,
6779,RB,LeSean,McCoy,11.6,16,8400,IND@BUF,BUF,IND,Q,Hamstring,0,0,
22003,RB,Ronnie,Hillman,11.5,8,5400,BAL@DEN,DEN,BAL,,,0,0,
14757,RB,Matt,Asiata,11.5,15,5100,MIN@SF,MIN,SF,,,0,0,
6759,WR,Brandon,Marshall,11.4,13,7400,CLE@NYJ,NYJ,CLE,,,0,0,
29501,WR,Brandin,Cooks,11.3,10,7400,NO@ARI,NO,ARI,,,0,0,
6735,WR,Steve,Smith,11.3,16,6700,BAL@DEN,BAL,DEN,,,0,0,
22113,RB,Alfred,Morris,11.2,16,7400,MIA@WAS,WAS,MIA,,,0,0,
8052,RB,Rashad,Jennings,11.2,11,6600,NYG@DAL,NYG,DAL,,,0,0,
6607,WR,Mike,Wallace,11.2,16,6400,MIN@SF,MIN,SF,,,0,0,
6914,TE,Greg,Olsen,11.2,16,5900,CAR@JAC,CAR,JAC,,,0,0,
6479,WR,Anquan,Boldin,11.1,16,6600,MIN@SF,SF,MIN,,,0,0,
7660,RB,Fred,Jackson,11.1,14,6200,IND@BUF,BUF,IND,,,0,0,
31421,QB,Zach,Mettenberger,11.1,7,5800,TEN@TB,TEN,TB,,,0,0,
6448,TE,Martellus,Bennett,11,16,6200,GB@CHI,CHI,GB,,,0,0,
